Brand,Zap Enter Date,Gaming Compability,Operating System,Two in One,Weight,Series,CPU type,RAM Capacity,CPU speed,CPU model,CPU generation,Hard drive capacity,Hard drive Type,Optical Drive,Screen Size,Screen Resolution,Screen Type,FPS,Touch Screen,GPU,Web camera,Secutiry,Connectors,Wifi modal,Cellular modem,Min price,Max price,Page number,Memory type
Lenovo,2021,יעודכן בקרוב,ללא,ללא,"1.65 ק""ג",IdeaPad 3,Intel Core i3,8 GB,3000Mhz,1115G4,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Integrated Intel UHD Graphics,1 מגה פיקסל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"1,790","1,890",21,DDR4
Lenovo,2021,יעודכן בקרוב,Windows  10,ללא,"1.65 ק""ג",IdeaPad 3,Intel Core i3,4 GB,3000Mhz,1115G4,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Integrated Intel UHD Graphics,1 מגה פיקסל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"1,590","2,089",21,DDR4
Asus,מ 2022,יעודכן בקרוב,ללא,מסך מסתובב,"1.4 ק""ג",ZenBook 14 Flip,Intel Core i5,16 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,60 Hz,כולל,Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"Thunderbolt , Card Reader , אוזניות/מיקרופון , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"4,596","5,019",21,DDR4
Asus,מ 2022,יעודכן בקרוב,ללא,ללא,"1.17 ק""ג",לא רלוונטי,Intel Core i5,16 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,כולל,מצלמת IR,"Thunderbolt , Card Reader , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"3,300","4,198",21,DDR4
Lenovo,מ 2022,יעודכן בקרוב,Windows 11 Home,ללא,"1.65 ק""ג",IdeaPad 3,Intel Core i5,16 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,NVIDIA GeForce MX350,1 מגה פיקסל,לא כולל,"USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"3,211","3,495",21,DDR4
Lenovo,מ 2022,יעודכן בקרוב,Windows 11 Pro,ללא,"1.9 ק""ג",IdeaPad 5 Pro,AMD Ryzen 7,16 GB,3200MHz,5800H,דור 4,1000 GB,SSD,לא כולל,16 אינטש,2560x1600,IPS,60 Hz,ללא,NVIDIA GeForce GTX 1650,1 מגה פיקסל,מצלמת IR,"DisplayPort , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"5,248","5,589",21,DDR4
Dell,מ 2022,יעודכן בקרוב,Windows 11 Pro,ללא,"1.42 ק""ג",Inspiron 5402,Intel Core i7,8 GB,2800Mhz,1165G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LED,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"3,665","4,290",21,DDR4
Asus,2021,יעודכן בקרוב,ללא,ללא,"1.8 ק""ג",לא רלוונטי,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,OLED,60 Hz,ללא,Intel UHD Graphics,1 מגה פיקסל,קורא טביעות אצבע,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"2,866","2,950",21,DDR4
Dell,מ 2022,יעודכן בקרוב,Windows 11 Home,ללא,"1.42 ק""ג",Inspiron 5402,Intel Core i7,8 GB,2800Mhz,1165G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LED,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"3,776","3,990",21,DDR4
Lenovo,מ 2022,יעודכן בקרוב,Windows 11 Pro,ללא,"1.7 ק""ג",ThinkBook 15,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"RJ-45 , DisplayPort , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"2,777","3,190",21,DDR4
Lenovo,2020,יעודכן בקרוב,ללא,ללא,"1.5 ק""ג",IdeaPad 5,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,Intel Iris Plus Graphics,1 מגה פיקסל,קורא טביעות אצבע,"DisplayPort , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"2,581","2,890",21,DDR4
Asus,2020,יעודכן בקרוב,Windows  10,ללא,"1.48 ק""ג",לא זמין,Intel Core i3,8 GB,2100Mhz,10110U,דור 10,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LED,60 Hz,ללא,Intel UHD Graphics 620,כולל,לא כולל,"VGA , RJ-45 , HDMI , USB",כולל,לא כולל,"1,881","2,255",21,DDR4
Lenovo,2021,יעודכן בקרוב,Windows 11 Home,ללא,"2.25 ק""ג",IdeaPad Gaming 3,AMD Ryzen 7,16 GB,3200MHz,5800H,דור 4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,120 Hz,ללא,NVIDIA GeForce RTX 3050 Ti,1 מגה פיקסל,לא כולל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"4,887","5,590",21,DDR4
Lenovo,מ 2022,יעודכן בקרוב,Windows 11 Pro,מסך מסתובב,"1.5 ק""ג",IdeaPad Flex 5,Intel Core i7,16 GB,1200Mhz,1165G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,כולל,NVIDIA GeForce MX450,1 מגה פיקסל,קורא טביעות אצבע,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"4,488","5,190",21,DDR4
Dell,2021,יעודכן בקרוב,Windows 11 Home,ללא,"1.69 ק""ג",Vostro 3510,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,1 מגה פיקסל,לא כולל,"RJ-45 , Card Reader , Bluetooth , USB",802.11ac,לא כולל,"2,689","3,519",21,DDR4
Lenovo,מ 2022,יעודכן בקרוב,ללא,ללא,"1.65 ק""ג",IdeaPad 3,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,NVIDIA GeForce MX350,1 מגה פיקסל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"2,289","2,540",21,DDR4
Lenovo,מ 2022,יעודכן בקרוב,Windows 11 Home,ללא,"1.65 ק""ג",IdeaPad 3,Intel Core i3,8 GB,3000Mhz,1115G4,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Integrated Intel UHD Graphics,1 מגה פיקסל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"2,189","2,440",21,DDR4
Lenovo,2021,יעודכן בקרוב,Windows 11 Home,ללא,"2.1 ק""ג",IdeaPad 3,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,17.3 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"2,990","3,450",21,DDR4
HP,מ 2022,יעודכן בקרוב,Windows  10,ללא,"1.47 ק""ג",לא רלוונטי,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,כולל,לא כולל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"2,692","3,090",21,DDR4
Asus,מ 2022,יעודכן בקרוב,ללא,ללא,"1.73 ק""ג",ExpertBook B1,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"VGA , RJ-45 , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"2,699","2,802",21,DDR4
Lenovo,מ 2022,יעודכן בקרוב,Windows 11 Pro,מסך מסתובב,"1.9 ק""ג",YOGA 7,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,כולל,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,Bluetooth,"WiFi 6 , 802.11ax",לא כולל,"5,241","5,743",22,DDR4
Lenovo,2020,יעודכן בקרוב,Windows 10 PRO,ללא,"1.9 ק""ג",ThinkBook,Intel Core i7,16 GB,2600Mhz,10750H,דור 10,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,NVIDIA GeForce GTX 1650Ti,1 מגה פיקסל,קורא טביעות אצבע,"Card Reader , USB-C , Bluetooth , USB",802.11ax,לא כולל,"5,245","6,766",22,DDR4
Asus,מ 2022,יעודכן בקרוב,ללא,ללא,"1.6 ק""ג",לא רלוונטי,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,1000 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,כולל,לא כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"3,148","3,890",22,DDR4
Asus,מ 2022,יעודכן בקרוב,Windows 11 Home,ללא,"1.45 ק""ג",Vivobook Pro 14,AMD Ryzen 7,16 GB,3200MHz,5800H,דור 4,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,60 Hz,ללא,NVIDIA GeForce RTX 3050,1 מגה פיקסל,קורא טביעות אצבע,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"4,858","5,241",22,DDR4
HP,2021,יעודכן בקרוב,Windows 10 PRO,ללא,"1.89 ק""ג",ZBook Power,Intel Core i9,32 GB,2500Mhz,11900H,דור 11,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel UHD Graphics,1 מגה פיקסל,מצלמת IR,"RJ-45 , Card Reader , HDMI , Bluetooth , USB",WiFi 6,לא כולל,"8,884","11,990",22,DDR4
Lenovo,2021,יעודכן בקרוב,ללא,ללא,"1.7 ק""ג",IdeaPad 3,Intel Pentium Silver,4 GB,1100Mhz,N5030,דור 5,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Integrated Intel UHD GRAPHICS 605,כולל,לא כולל,"Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB",802.11ac,לא כולל,"1,185","1,890",22,DDR4
Lenovo,2021,יעודכן בקרוב,Windows 10 PRO,לא רלוונטי,"1.64 ק""ג",ThinkPad E14,Intel Core i5,16 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,NVIDIA GeForce MX450,1 מגה פיקסל,קורא טביעות אצבע,"RJ-45 , Thunderbolt , HDMI , Bluetooth , USB",802.11ax,לא כולל,"3,794","4,047",22,DDR4
Lenovo,מ 2022,יעודכן בקרוב,Windows 11 Home,מסך מסתובב,"1.8 ק""ג",IdeaPad Flex 5,Intel Core i3,8 GB,3000Mhz,1115G4,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,כולל,Integrated Intel UHD Graphics,1 מגה פיקסל,קורא טביעות אצבע,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"2,895","3,040",22,DDR4
Lenovo,מ 2022,יעודכן בקרוב,Windows 11 Pro,מסך מסתובב,"1.5 ק""ג",ThinkBook 14s Yoga ITL,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,כולל,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"DisplayPort , Thunderbolt , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"4,417","4,509",22,DDR4
Dell,מ 2022,יעודכן בקרוב,ללא,ללא,"2.57 ק""ג",G15,Intel Core i7,16 GB,2300MHz,11800H,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LED,120 Hz,ללא,NVIDIA GeForce RTX 3050 Ti,1 מגה פיקסל,לא כולל,"RJ-45 , HDMI , Bluetooth , USB",WiFi 6,לא כולל,"5,018","5,573",22,DDR4
Asus,2021,יעודכן בקרוב,Windows 11 Home,ללא,"1.8 ק""ג",לא רלוונטי,Intel Core i5,8 GB,2800Mhz,1165G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,כולל,לא כולל,"אוזניות/מיקרופון , USB-C , Bluetooth , USB",802.11ac,לא כולל,"3,036","3,295",22,DDR4
Lenovo,2021,יעודכן בקרוב,Windows 10 PRO,ללא,"1.64 ק""ג",ThinkPad E14,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,1000 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel UHD Graphics,1 מגה פיקסל,קורא טביעות אצבע,"RJ-45 , Thunderbolt , HDMI , Bluetooth , USB",802.11ax,לא כולל,"4,150","4,390",22,DDR4
Asus,מ 2022,יעודכן בקרוב,Windows 10 PRO,מסך מסתובב,"1.44 ק""ג",Expertbook B7,Intel Core i5,16 GB,3000Mhz,1155G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,2560x1600,LCD,60 Hz,כולל,Intel Iris Xe Graphics,כולל,"מצלמת IR , קורא טביעות אצבע","RJ-45 , Thunderbolt , Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"5,857","6,179",22,DDR4
Lenovo,2021,יעודכן בקרוב,ללא,ללא,"1.9 ק""ג",ThinkPad E14,Intel Core i5,16 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel UHD Graphics,1 מגה פיקסל,לא כולל,"RJ-45 , Thunderbolt , HDMI , Bluetooth , USB",802.11ax,לא כולל,"2,761","2,990",22,DDR4
HP,מ 2022,יעודכן בקרוב,Windows 11 Pro,ללא,"1.37 ק""ג",EliteBook 845,AMD Ryzen 7,32 GB,1900Mhz,5800U,דור 4,1000 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,AMD Radeon  Graphics,1 מגה פיקסל,לא כולל,"DisplayPort , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"5,670","6,490",22,DDR4
Lenovo,מ 2022,יעודכן בקרוב,ללא,ללא,"2.25 ק""ג",IdeaPad Gaming 3,Intel Core i5,16 GB,3100Mhz,11300H,דור 11,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,120 Hz,ללא,NVIDIA GeForce RTX 3050,1 מגה פיקסל,לא כולל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"3,974","4,952",22,DDR4
Asus,מ 2022,יעודכן בקרוב,Windows 11 Home,ללא,"1.17 ק""ג",ZenBook 14,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,כולל,מצלמת IR,"Thunderbolt , Card Reader , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"4,480","4,699",22,DDR4
Lenovo,מ 2022,יעודכן בקרוב,Windows 11 Home,מסך מסתובב,"1.13 ק""ג",IdeaPad Flex 3,Intel Pentium,4 GB,1100Mhz,N5030,דור 5,128 GB,SSD,לא כולל,11.6 אינטש,1920x1080,IPS,60 Hz,כולל,Integrated Intel UHD GRAPHICS 605,1 מגה פיקסל,לא כולל,"Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB",802.11ac,לא כולל,"1,887","2,190",22,DDR4
Asus,מ 2022,יעודכן בקרוב,Windows 11 Home,ללא,"1.8 ק""ג",VivoBook 15,Intel Core i5,16 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,OLED,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"3,299","3,990",22,DDR4
Asus,מ 2022,יעודכן בקרוב,Windows 11 Home,ללא,"1.4 ק""ג",ZenBook 14X,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,1000 GB,SSD,לא כולל,14 אינטש,3840x2400,LCD,60 Hz,כולל,Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"Thunderbolt , Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"6,200","6,690",22,DDR4
Lenovo,2021,יעודכן בקרוב,Windows  10,ללא,"1.39 ק""ג",IdeaPad 5,Intel Core i3,8 GB,3000Mhz,1115G4,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel UHD Graphics,1 מגה פיקסל,קורא טביעות אצבע,"DisplayPort , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"2,319","2,690",22,DDR4
Lenovo,2021,יעודכן בקרוב,Windows  10,ללא,"2.2 ק""ג",IdeaPad L3,Intel Core i3,8 GB,3000Mhz,1115G4,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel UHD Graphics,1 מגה פיקסל,לא כולל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"2,137","2,239",22,DDR4
Asus,2021,יעודכן בקרוב,ללא,ללא,"1.8 ק""ג",VivoBook 15,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,OLED,60 Hz,ללא,NVIDIA GeForce MX350,1 מגה פיקסל,קורא טביעות אצבע,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"3,039","3,390",22,DDR4
Lenovo,מ 2022,יעודכן בקרוב,Windows 11 Home,ללא,"2.45 ק""ג",Legion 5 Pro,AMD Ryzen 7,32 GB,3200MHz,5800H,דור 4,1000 GB,SSD,לא כולל,16 אינטש,2560x1600,IPS,165 Hz,ללא,NVIDIA GeForce RTX 3060,1 מגה פיקסל,לא כולל,"RJ-45 , DisplayPort , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"6,444","7,019",22,DDR4
Asus,מ 2022,יעודכן בקרוב,Windows 11 Home,ללא,"1.6 ק""ג",לא רלוונטי,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,כולל,לא כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"2,557","2,990",23,DDR4
Dell,מ 2022,יעודכן בקרוב,ללא,ללא,"1.69 ק""ג",Vostro 3510,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,1 מגה פיקסל,לא כולל,"RJ-45 , Card Reader , HDMI , Bluetooth",802.11ac,לא כולל,"3,284","3,592",23,DDR4
Lenovo,מ 2022,יעודכן בקרוב,Windows 11 Pro,מסך מסתובב,"1.9 ק""ג",Yoga 7,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,כולל,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"DisplayPort , Thunderbolt , אוזניות/מיקרופון , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"4,285","4,490",23,DDR4
Lenovo,2021,יעודכן בקרוב,ללא,ללא,"1.7 ק""ג",IdeaPad 3,Intel Pentium Silver,4 GB,1100Mhz,N5030,דור 5,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Integrated Intel UHD GRAPHICS 605,כולל,לא כולל,Bluetooth,802.11ac,לא כולל,"1,189","1,390",23,DDR4
Lenovo,2021,יעודכן בקרוב,ללא,ללא,"1.26 ק""ג",ThinkBook 13s,Intel Core i5,16 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,13.3 אינטש,1920x1200,IPS,60 Hz,ללא,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"Thunderbolt , HDMI , Bluetooth , USB",802.11ax,לא כולל,"2,789","2,950",23,DDR4
Lenovo,2021,יעודכן בקרוב,Windows 11 Home,ללא,"2.45 ק""ג",Legion 5 Pro,AMD Ryzen 7,16 GB,3200MHz,5800H,דור 4,512 GB,SSD,לא כולל,16 אינטש,2560x1600,IPS,165 Hz,ללא,NVIDIA GeForce RTX 3060,1 מגה פיקסל,לא כולל,"RJ-45 , DisplayPort , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"5,990","6,990",23,DDR4
HP,2021,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,4700Mhz,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,"6,196","6,640",23,יעודכן בקרוב
Lenovo,מ 2022,יעודכן בקרוב,ללא,ללא,"2.25 ק""ג",IdeaPad Gaming 3,Intel Core i5,16 GB,3100Mhz,11300H,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,120 Hz,ללא,NVIDIA GeForce RTX 3050,1 מגה פיקסל,לא כולל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"3,800","4,540",23,DDR4
Lenovo,2021,יעודכן בקרוב,Windows 10 PRO,ללא,"1.47 ק""ג",ThinkPad P14s,Intel Core i7,16 GB,4700Mhz,10510U,דור 10,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,NVIDIA Quadro P520,1 מגה פיקסל,קורא טביעות אצבע,"RJ-45 , Thunderbolt , Card Reader , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"5,705","6,800",23,DDR4
Asus,מ 2022,יעודכן בקרוב,ללא,ללא,"1.45 ק""ג",ExpertBook B1,Intel Core i3,8 GB,3000Mhz,1115G4,דור 11,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,1 מגה פיקסל,קורא טביעות אצבע,"VGA , RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"2,127","2,399",23,DDR4
HP,2021,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,4600Mhz,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,"8,648","10,999",23,יעודכן בקרוב
HP,2021,יעודכן בקרוב,Windows 10 PRO,מסך מסתובב,"1.32 ק""ג",Elitbook G8,Intel Core i7,32 GB,2800Mhz,1165G7,דור 11,1000 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,כולל,Intel Iris Xe Graphics,לא זמין,לא כולל,"Thunderbolt , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",WiFi 6,לא כולל,"8,464","10,290",23,DDR4
HP,2021,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,3060Mhz,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,"6,568","7,990",23,יעודכן בקרוב
Dell,מ 2022,יעודכן בקרוב,Windows 11 Home,ללא,"1.43 ק""ג",Vostro 5410,Intel Core i7,16 GB,3400MHz,11390H,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LED,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,"RJ-45 , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"4,273","5,498",23,DDR4
Dell,מ 2022,יעודכן בקרוב,Windows 11 Home,ללא,"1.69 ק""ג",Vostro 3510,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,1 מגה פיקסל,לא כולל,Bluetooth,802.11ac,לא כולל,"4,183","5,190",23,DDR4
